show_id,title,director,cast,country,date_added,release_year,rating,duration,listed_in,primary_genre
s42,Jaws,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman",United States,2021-09-16 00:00:00,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",Action & Adventure
s43,Jaws 2,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French",United States,2021-09-16 00:00:00,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",Dramas
s44,Jaws 3,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer",United States,2021-09-16 00:00:00,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",Action & Adventure
s45,Jaws: The Revenge,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield",United States,2021-09-16 00:00:00,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",Action & Adventure
s46,My Heroes Were Cowboys,Tyler Greco,Unknown,Unknown,2021-09-16 00:00:00,2021,PG,23 min,Documentaries,Documentaries
s47,Safe House,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",South Africa,2021-09-16 00:00:00,2012,R,115 min,Action & Adventure,Action & Adventure
s49,Training Day,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",United States,2021-09-16 00:00:00,2001,R,122 min,"Dramas, Thrillers",Dramas
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,2021-09-15 00:00:00,2002,TV-14,99 min,"Action & Adventure, Anime Features",Action & Adventure
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,2021-09-15 00:00:00,2003,TV-14,99 min,"Action & Adventure, Anime Features",Action & Adventure
s54,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna",Japan,2021-09-15 00:00:00,2004,TV-PG,88 min,"Action & Adventure, Anime Features",Action & Adventure
s55,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki",Japan,2021-09-15 00:00:00,2001,TV-PG,100 min,"Action & Adventure, Anime Features",Action & Adventure
s57,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki",Japan,2021-09-15 00:00:00,2011,TV-14,102 min,"Action & Adventure, Anime Features",Action & Adventure
s58,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada",Japan,2021-09-15 00:00:00,2008,TV-PG,93 min,"Action & Adventure, Anime Features",Action & Adventure
s59,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura",Japan,2021-09-15 00:00:00,2009,TV-PG,96 min,"Action & Adventure, Anime Features",Action & Adventure
s60,Naruto Shippuden: The Movie,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato",Japan,2021-09-15 00:00:00,2007,TV-PG,95 min,"Action & Adventure, Anime Features",Action & Adventure
s61,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa",Japan,2021-09-15 00:00:00,2010,TV-14,85 min,"Action & Adventure, Anime Features",Action & Adventure
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda",Japan,2021-09-15 00:00:00,2005,TV-PG,97 min,"Action & Adventure, Anime Features",Action & Adventure
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa",Japan,2021-09-15 00:00:00,2006,TV-PG,95 min,"Action & Adventure, Anime Features",Action & Adventure
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,"Junko Takeuchi, Noriaki Sugiyama, Chie Nakamura, Kazuhiko Inoue, Yuhko Kaida, Tsutomu Isobe, Hirotaka Suzuoki, Jun Karasawa, Harii Kaneko, Ikuo Nishikawa",Japan,2021-09-15 00:00:00,2004,TV-PG,83 min,"Action & Adventure, Anime Features",Action & Adventure
s65,Nightbooks,David Yarovesky,"Winslow Fegley, Lidya Jewett, Krysten Ritter",Unknown,2021-09-15 00:00:00,2021,TV-PG,103 min,Children & Family Movies,Children & Family Movies
s69,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,Unknown,2021-09-15 00:00:00,2021,TV-14,113 min,"Documentaries, Sports Movies",Documentaries
s72,A StoryBots Space Adventure,David A. Vargas,"Evan Spiridellis, Erin Fitzgerald, Jeff Gill, Fred Tatasciore, Evan Michael Lee, Jared Isaacman, Sian Proctor, Chris Sembroski, Hayley Arceneaux",Unknown,2021-09-14 00:00:00,2021,TV-Y,13 min,Children & Family Movies,Children & Family Movies
s74,King of Boys,Kemi Adetiba,"Sola Sobowale, Adesua Etomi, Remilekun ""Reminisce"" Safaru, Tobechukwu ""iLLbliss"" Ejiofor, Toni Tones, Paul Sambo, Jide Kosoko, Sharon Ooja",Nigeria,2021-09-14 00:00:00,2018,TV-MA,182 min,Dramas,Dramas
s76,You vs. Wild: Out Cold,Ben Simms,"Bear Grylls, Jason Derek Prempeh",Unknown,2021-09-14 00:00:00,2021,TV-G,106 min,Children & Family Movies,Children & Family Movies
s78,Little Singham - Black Shadow,Prakash Satam,"Sumriddhi Shukla, Jigna Bharadwaj, Sonal Kaushal, Neshma Chemburkar, Ganesh Divekar, Annamaya Verma, Anamay Verma, Manoj Pandey",Unknown,2021-09-11 00:00:00,2021,TV-Y7,48 min,"Children & Family Movies, Comedies",Children & Family Movies
s79,Tughlaq Durbar,Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",Unknown,2021-09-11 00:00:00,2020,TV-14,145 min,"Comedies, Dramas",Comedies
s80,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,"Vijay Sethupathi, Parthiban, Raashi Khanna",Unknown,2021-09-11 00:00:00,2021,TV-14,145 min,"Comedies, Dramas",Comedies
s81,Firedrake the Silver Dragon,Tomer Eshed,"Thomas Brodie-Sangster, Felicity Jones, Freddie Highmore, Patrick Stewart, Meera Syal, Sanjeev Bhaskar, Nonso Anozie",Unknown,2021-09-10 00:00:00,2021,TV-Y7,93 min,Children & Family Movies,Children & Family Movies
s82,Kate,Cedric Nicolas-Troyan,"Mary Elizabeth Winstead, Jun Kunimura, Woody Harrelson, Tadanobu Asano, Miyavi, Michiel Huisman, Miku Martineau",United States,2021-09-10 00:00:00,2021,R,106 min,Action & Adventure,Action & Adventure
s85,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele","Funke Akindele, Ayo Makun, Chioma Chukwuka Akpotha, Yemi Eberechi Alade, Blossom Chukwujekwu, Deyemi Okanlawon, Alexx Ekubo, Zubby Michael, Tina Mba, Femi Jacobs",Nigeria,2021-09-10 00:00:00,2020,TV-MA,147 min,"Action & Adventure, Comedies, Dramas",Action & Adventure
s87,Prey,Thomas Sieben,"David Kross, Hanno Koffler, Maria Ehrich, Robert Finster, Yung Ngo, Klaus Steinbacher, Livia Matthes, Nellie Thalbach",Unknown,2021-09-10 00:00:00,2021,TV-MA,87 min,Thrillers,Thrillers
s89,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali",Unknown,2021-09-09 00:00:00,2021,PG-13,96 min,"Documentaries, Sports Movies",Documentaries
s91,Paradise Hills,Alice Waddington,"Emma Roberts, Danielle Macdonald, Awkwafina, Eiza González, Milla Jovovich, Jeremy Irvine, Arnaud Valois, Daniel Horvath",Spain,2021-09-09 00:00:00,2019,TV-MA,95 min,"Sci-Fi & Fantasy, Thrillers",Sci-Fi & Fantasy
s92,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",Unknown,France,2021-09-09 00:00:00,2021,TV-14,92 min,Documentaries,Documentaries
s94,JJ+E,Alexis Almström,"Elsa Öhrn, Mustapha Aarab, Jonay Pineda Skallak, Magnus Krepper, Loreen, Albin Grenholm, Simon Mezher, Elsa Bergström Terent, Josef Kadim, Yohannes Frezgi",Unknown,2021-09-08 00:00:00,2021,TV-MA,91 min,"Dramas, Romantic Movies",Dramas
s95,Show Dogs,Raja Gosnell,"Will Arnett, Ludacris, Natasha Lyonne, Stanley Tucci, Jordin Sparks, Gabriel Iglesias, Shaquille O'Neal, Omar Chaparro, Alan Cumming, Andy Beckwith, Delia Sheppard, Kerry Shale",United Kingdom,2021-09-08 00:00:00,2018,PG,90 min,"Children & Family Movies, Comedies",Children & Family Movies
s97,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,2021-09-07 00:00:00,2018,TV-MA,97 min,"Documentaries, Music & Musicals",Documentaries
s102,Untold: Breaking Point,"Chapman Way, Maclain Way",Unknown,United States,2021-09-07 00:00:00,2021,TV-MA,80 min,"Documentaries, Sports Movies",Documentaries
s104,Shadow Parties,Yemi Amodu,"Jide Kosoko, Omotola Jalade-Ekeinde, Yemi Blaq, Sola Sobowale, Ken Erics, Toyin Aimakhu, Segun Arinze, Jibola Dabo, Rotimi Salami, Pa Jimi Solanke, Rachael Okonkwo, Bassey Okon, Lucien Morgan, Magdalena Korpas",Unknown,2021-09-06 00:00:00,2020,TV-MA,117 min,"Dramas, Thrillers",Dramas
s106,Angamaly Diaries,Lijo Jose Pellissery,"Antony Varghese, Reshma Rajan, Binny Rinky Benjamin, Vineeth Vishwam, Kichu Tellus, Sreekanth Dasan, Sarath Kumar, Tito Wilson, Anandhu, Bitto Davis, Sinoj Varghese",India,2021-09-05 00:00:00,2017,TV-14,128 min,"Action & Adventure, Comedies, Dramas",Action & Adventure
s108,A Champion Heart,David de Vos,"Mandy Grace, David de Vos, Donna Rusch, Devan Key, Isabella Mancuso, Ariana Guido",United States,2021-09-04 00:00:00,2018,G,90 min,"Children & Family Movies, Dramas",Children & Family Movies
s113,Worth,Sara Colangelo,"Michael Keaton, Stanley Tucci, Amy Ryan, Shunori Ramanathan, Ato Blankson-Wood, Tate Donovan, Laura Benanti, Chris Tardio",Unknown,2021-09-03 00:00:00,2021,PG-13,119 min,Dramas,Dramas
s114,Afterlife of the Party,Stephen Herek,"Victoria Justice, Midori Francis, Robyn Scott, Adam Garcia, Timothy Renouf, Gloria Garcia, Myfanwy Waring, Spencer Sutherland",Unknown,2021-09-02 00:00:00,2021,TV-PG,110 min,"Comedies, Romantic Movies",Comedies
s115,Anjaam,Rahul Rawail,"Madhuri Dixit, Shah Rukh Khan, Tinnu Anand, Johny Lever, Kalpana Iyer, Himani Shivpuri, Sudha Chandran, Beena, Kiran Kumar",India,2021-09-02 00:00:00,1994,TV-14,143 min,"Dramas, Thrillers",Dramas
s116,Bright Star,Jane Campion,"Abbie Cornish, Ben Whishaw, Paul Schneider, Kerry Fox, Edie Martin, Thomas Brodie-Sangster, Claudie Blakley, Gerard Monaco, Antonia Campbell-Hughes, Samuel Roukin",United Kingdom,2021-09-02 00:00:00,2009,PG,119 min,"Dramas, Romantic Movies",Dramas
s117,Dhanak,Nagesh Kukunoor,"Krrish Chhabria, Hetal Gada, Vipin Sharma, Gulfam Khan, Suresh Menon, Vijay Maurya, Rajiv Lakshman, Ninad Kamat",India,2021-09-02 00:00:00,2015,TV-PG,114 min,"Comedies, Dramas, Independent Movies",Comedies
s118,Final Account,Luke Holland,Unknown,United Kingdom,2021-09-02 00:00:00,2021,PG-13,94 min,Documentaries,Documentaries
s119,Gurgaon,Shanker Raman,"Akshay Oberoi, Pankaj Tripathi, Ragini Khanna, Aamir Bashir, Shalini Vatsa, Ashish Verma",India,2021-09-02 00:00:00,2017,TV-14,106 min,"Dramas, Thrillers",Dramas
s120,Here and There,JP Habac,"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon",Unknown,2021-09-02 00:00:00,2020,TV-MA,99 min,"Dramas, Romantic Movies",Dramas
s123,In the Cut,Jane Campion,"Meg Ryan, Mark Ruffalo, Jennifer Jason Leigh, Nick Damici, Sharrieff Pugh, Kevin Bacon, Yaani King Mondschein, Heather Litteer",United Kingdom,2021-09-02 00:00:00,2003,R,118 min,Thrillers,Thrillers
s127,Shikara,Vidhu Vinod Chopra,"Aadil Khan, Sadia Khateeb, Zain Khan Durrani, Priyanshu Chatterjee, Bhavna Chauhan, Ashwin Dhar, Farid Azad Khan, Saghar Sehrai",India,2021-09-02 00:00:00,2020,TV-14,115 min,"Dramas, Romantic Movies",Dramas
s128,A Cinderella Story,Mark Rosman,"Hilary Duff, Chad Michael Murray, Jennifer Coolidge, Dan Byrd, Regina King, Julie Gonzalo, Lin Shaye, Madeline Zima, Andrea Avery, Mary Pat Gleason, Paul Rodriguez, Whip Hubley, Kevin Kilner, Erica Hubbard, Simon Helberg",United States,2021-09-01 00:00:00,2004,PG,95 min,"Children & Family Movies, Comedies",Children & Family Movies
s129,Agatha Christie's Crooked House,Gilles Paquet-Brenner,"Glenn Close, Terence Stamp, Max Irons, Gillian Anderson, Christina Hendricks, Stefanie Martini, Julian Sands, Honor Kneafsey, Christian McKay, Amanda Abbington",Unknown,2021-09-01 00:00:00,2017,PG-13,115 min,"Dramas, Thrillers",Dramas
s130,An Unfinished Life,Lasse Hallström,"Robert Redford, Jennifer Lopez, Morgan Freeman, Josh Lucas, Damian Lewis, Camryn Manheim, Becca Gardner, Lynda Boyd, Rob Hayter, P. Lynn Johnson",Germany,2021-09-01 00:00:00,2005,PG-13,108 min,Dramas,Dramas
s131,Barbie Big City Big Dreams,Scott Pleydell-Pearce,"America Young, Amber May, Giselle Fernandez, Alejandro Saab, Dinora Walcott",Unknown,2021-09-01 00:00:00,2021,TV-Y,63 min,"Children & Family Movies, Music & Musicals",Children & Family Movies
s132,Blade Runner: The Final Cut,Ridley Scott,"Harrison Ford, Rutger Hauer, Sean Young, Edward James Olmos, M. Emmet Walsh, Daryl Hannah, William Sanderson, Brion James, Joe Turkel, Joanna Cassidy, James Hong, Morgan Paull",United States,2021-09-01 00:00:00,1982,R,117 min,"Action & Adventure, Classic Movies, Cult Movies",Action & Adventure
s134,Chappie,Neill Blomkamp,"Sharlto Copley, Hugh Jackman, Sigourney Weaver, Dev Patel, Ninja, Yo-Landi Visser, Jose Pablo Cantillo, Brandon Auret, Johnny Selema, Maurice Carpede",South Africa,2021-09-01 00:00:00,2015,R,121 min,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure
s135,Clear and Present Danger,Phillip Noyce,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Dean Jones, Thora Birch, James Earl Jones, Raymond Cruz",United States,2021-09-01 00:00:00,1994,PG-13,142 min,"Action & Adventure, Dramas",Action & Adventure
s136,Cliffhanger,Renny Harlin,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Ralph Waite, Max Perlich, Paul Winfield",United States,2021-09-01 00:00:00,1993,R,113 min,Action & Adventure,Action & Adventure
s137,Cold Mountain,Anthony Minghella,"Jude Law, Nicole Kidman, Renée Zellweger, Eileen Atkins, Brendan Gleeson, Philip Seymour Hoffman, Natalie Portman, Giovanni Ribisi, Donald Sutherland, Ray Winstone",United States,2021-09-01 00:00:00,2003,R,154 min,"Dramas, Romantic Movies",Dramas
s138,Crocodile Dundee in Los Angeles,Simon Wincer,"Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Aida Turturro, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Paul Rodriguez, Mark Adair-Rios, Tiriel Mora, Grant Piro, Mike Tyson",Australia,2021-09-01 00:00:00,2001,PG,95 min,"Action & Adventure, Comedies",Action & Adventure
s139,Dear John,Lasse Hallström,"Channing Tatum, Amanda Seyfried, Richard Jenkins, Henry Thomas, D.J. Cotrona, Cullen Moss, Gavin McCulley, Jose Lucena Jr., Keith Robinson, Scott Porter",United States,2021-09-01 00:00:00,2010,PG-13,108 min,"Dramas, Romantic Movies",Dramas
s140,Do the Right Thing,Spike Lee,"Danny Aiello, Ossie Davis, Ruby Dee, Richard Edson, Giancarlo Esposito, Spike Lee, Bill Nunn, John Turturro, Paul Benjamin, Frankie Faison, Samuel L. Jackson, Rosie Perez, Martin Lawrence, Miguel Sandoval",United States,2021-09-01 00:00:00,1989,R,120 min,"Classic Movies, Comedies, Dramas",Classic Movies
s141,"El patrón, radiografía de un crimen",Sebastián Schindel,"Joaquín Furriel, Luis Ziembrowski, Guillermo Pfening, Mónica Lairana, Germán de Silva, Victoria Raposo, Andrea Garrote",Argentina,2021-09-01 00:00:00,2014,TV-MA,100 min,"Dramas, Thrillers",Dramas
s142,Extraction,Steven C. Miller,"Bruce Willis, Kellan Lutz, Gina Carano, D.B. Sweeney, Joshua Mikel, Steve Coulter, Dan Bilzerian, Heather Johansen",United States,2021-09-01 00:00:00,2015,R,82 min,Action & Adventure,Action & Adventure
s143,Freedom Writers,Richard LaGravenese,"Hilary Swank, Patrick Dempsey, Scott Glenn, Imelda Staunton, April L. Hernandez, Mario, Kristin Herrera, Jaclyn Ngan, Sergio Montalvo, Jason Finn, Deance Wyatt, Vanetta Smith",Germany,2021-09-01 00:00:00,2007,PG-13,124 min,Dramas,Dramas
s144,Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett",United States,2021-09-01 00:00:00,2011,PG-13,114 min,"Action & Adventure, Sci-Fi & Fantasy",Action & Adventure
s145,House Party,Reginald Hudlin,"Christopher Reid, Christopher Martin, Robin Harris, Tisha Campbell, A.J. Johnson, Martin Lawrence, Paul Anthony, Bowlegged Lou, B-Fine, Edith Fields, Kelly Jo Minter, Clifton Powell, Verda Bridges",United States,2021-09-01 00:00:00,1990,R,104 min,"Comedies, Cult Movies",Comedies
s146,House Party 2,"George Jackson, Doug McHenry","Christopher Reid, Christopher Martin, Martin Lawrence, Bowlegged Lou, Paul Anthony, B-Fine, Tisha Campbell, Kamron, Iman, Queen Latifah",United States,2021-09-01 00:00:00,1991,R,94 min,"Comedies, Cult Movies, Music & Musicals",Comedies
s147,House Party 3,Eric Meza,"Christopher Reid, Christopher Martin, Tisha Campbell, David Edwards, Angela Means, Ketty Lester, Bernie Mac, Michael Colyar, Chris Tucker, Khandi Alexander",United States,2021-09-01 00:00:00,1994,R,94 min,"Comedies, Music & Musicals",Comedies
s150,I Got the Hook Up,Michael Martin,"Master P, Anthony Johnson, Gretchen Palmer, Frantz Turner, Richard Keats, Joe Estevez, William Knight, Anthony Boswell, Tommy 'Tiny' Lister, Helen Martin, John Witherspoon, Mia X",United States,2021-09-01 00:00:00,1998,R,93 min,"Action & Adventure, Comedies",Action & Adventure
s151,In Too Deep,Michael Rymer,"Omar Epps, LL Cool J, Nia Long, Stanley Tucci, Pam Grier, Hill Harper, Jake Weber, David Patrick Kelly, Veronica Webb, Ron Canada, Robert LaSardo, Gano Grills, Ivonne Coll, Don Harvey, Mya, Nasir 'Nas' Jones, Jermaine Dupri",United States,2021-09-01 00:00:00,1999,R,97 min,Thrillers,Thrillers
